rainfall_7d,rainfall_30d,rainfall_90d,temp_mean_7d,dewpoint_mean_7d,wind_mean_7d,temp_same_day,dewpoint_same_day,wind_same_day,ndvi_nearest_composite,ndvi_anomaly,elevation_m,slope_deg,dist_to_water_m,presence
0.0,138.85,321.45,27.06,7.48,1.17,27.66,7.64,1.18,0.6621,0.0242,1469.0,1.8,31.4,0
79.7,253.88,462.92,22.7,15.84,1.92,24.51,16.81,1.17,0.6727,0.0856,1709.0,6.13,1946.7,0
49.34,85.68,583.93,25.06,17.85,3.95,25.06,17.85,3.95,0.6978,0.0864,1398.0,8.55,1220.6,0
0.0,40.92,385.37,26.17,13.26,2.07,28.21,11.19,0.44,0.603,-0.0166,1448.0,0.69,1174.5,0
0.0,7.57,187.95,26.3,10.36,1.97,24.86,12.25,2.57,0.8531,0.0053,1576.0,2.76,215.7,0
0.0,72.02,314.87,33.1,8.03,1.76,33.42,7.33,1.55,0.5695,0.0281,1139.0,1.38,1099.9,0
6.89,95.19,652.36,28.42,12.84,2.51,27.18,14.67,1.46,0.6686,0.0653,1282.0,8.71,2334.3,0
25.66,86.59,242.38,20.69,8.54,2.08,22.77,5.33,0.82,0.8998,0.0205,2214.0,8.71,109.7,0
38.29,133.45,408.64,24.49,17.86,2.53,23.57,19.1,3.01,0.7366,0.0555,1283.0,9.87,242.1,0
78.72,234.68,436.85,23.18,15.86,1.93,22.79,13.99,3.13,0.6727,0.0856,1709.0,6.13,1946.7,0
0.0,133.82,339.8,27.68,7.17,1.3,28.45,7.1,0.76,0.7491,0.1294,1908.0,14.7,1168.1,0
42.82,142.03,546.36,24.34,18.9,3.17,24.06,19.18,3.25,0.7765,0.0755,1286.0,4.33,280.7,0
0.0,94.73,722.45,28.04,12.5,1.68,27.59,13.61,1.28,0.6241,0.0468,1182.0,0.98,1400.2,0
55.67,196.56,398.93,23.54,16.14,2.05,21.31,17.4,2.39,0.6727,0.0856,1709.0,6.13,1946.7,0
39.94,115.6,551.04,26.1,17.28,2.6,26.1,17.28,2.6,0.594,0.132,1154.0,0.44,974.1,0
19.72,111.0,251.87,27.34,13.35,2.54,26.54,13.88,3.28,0.6199,0.0335,1208.0,1.24,1665.6,0
97.3,307.67,525.08,23.85,16.84,3.05,24.13,16.54,3.58,0.6702,0.1228,1474.0,4.41,1084.6,0
0.0,27.06,344.41,26.64,15.82,2.47,25.04,16.12,2.79,0.5027,-0.0244,1147.0,0.62,348.4,0
137.46,247.23,447.18,26.08,13.11,1.47,25.81,14.01,1.82,0.843,0.0025,1581.0,2.18,562.9,0
0.0,100.46,297.18,27.32,7.09,1.17,27.68,6.57,0.85,0.5341,-0.0547,1422.0,4.66,486.6,0
0.0,175.47,502.52,21.86,15.16,1.39,20.6,17.81,1.54,0.6912,0.1095,1574.0,13.89,428.5,0
19.72,111.0,251.87,27.34,13.35,2.54,26.54,13.88,3.28,0.6199,0.0335,1208.0,1.24,1665.6,0
0.0,105.86,274.71,25.39,4.61,2.88,26.0,4.03,2.19,0.6035,0.0301,2129.0,1.95,1551.4,0
0.0,100.46,297.18,27.32,7.09,1.17,27.68,6.57,0.85,0.5341,-0.0547,1422.0,4.66,486.6,0
0.0,181.18,451.6,26.15,10.99,1.81,25.16,13.52,3.87,0.8228,-0.0288,1544.0,9.75,258.5,0
0.0,72.02,314.87,33.1,8.03,1.76,33.42,7.33,1.55,0.5695,0.0281,1139.0,1.38,1099.9,0
