key,scientificName,decimalLatitude,decimalLongitude,eventDate,year,grid_cell_id,within_scheme_boundary
4458471021,"Amauris albimaculata Butler, 1875",0.294738,34.830118,2023-11-25T09:22,2023,cell_0126,False
4028818115,"Lanius excubitoroides Prevost & Des Murs, 1847",0.245558,35.211835,2023-01-06T18:03,2023,cell_0279,False
2294623033,"Chlorocebus pygerythrus (F.Cuvier, 1821)",-0.008033,34.598592,2019-07-19T08:38,2019,cell_0032,False
1986737292,"Ardea alba Linnaeus, 1758",-0.172686,34.914028,2017-09-07,2017,cell_0156,True
3347168803,"Labeobarbus altianalis (Boulenger, 1900)",-0.17,35.18,2011-05-26,2011,cell_0253,False
3998441000,Centella asiatica (L.) Urb.,-0.016405,34.603802,2022-12-05T12:34:41.790Z,2022,cell_0032,False
577269698,"Anaplectes rubriceps (Sundevall, 1850)",-0.031405,34.938595,2011-01-20,2011,cell_0158,False
2170625756,"Motacilla aguimp Temminck, 1820",-0.026098,34.683025,2018-06-18,2018,cell_0064,False
5316271659,"Crithagra striolata (Rüppell, 1840)",-0.369144,35.296364,2000-11-03,2000,cell_0283,False
2848585860,"Indicator conirostris (Cassin, 1856)",-0.351,35.319,2020-03-10,2020,cell_0298,False
1416040609,BOLD:ABZ3304,0.11,35.25,2011-12-04,2011,cell_0292,False
865161977,"Technomyrmex moerens Santschi, 1913",0.1,34.52,2001-10-01,2001,cell_0020,False
1416040582,BOLD:ACR5697,0.11,35.25,2011-12-04,2011,cell_0292,False
1883745078,"Myotis bocagii (Peters, 1870)",0.33163,34.87875,2015-03-10,2015,cell_0146,False
6178557736,Syzygium cumini (L.) Skeels,-0.535933,34.824988,2026-03-05T13:41:45,2026,cell_0109,False
975746957,"Bostrychia hagedash (Latham, 1790)",-0.401222,34.665188,2013-11-28,2013,cell_0056,False
951877976,"Ardea ibis Linnaeus, 1758",-0.185394,34.928284,2013-04-22,2013,cell_0155,False
3306568592,"Elminia longicauda (Swainson, 1838)",0.125417,34.957917,2015-12-19,2015,cell_0182,False
1986731484,"Accipiter melanoleucus A.Smith, 1830",0.333333,34.873333,2017-06-01,2017,cell_0146,False
142745633,"Dacus limbipennis Macquart, 1844",0.016667,35.1833,2001-08-01,2001,cell_0256,False
3351047166,Plagiorchiida,-0.32,35.01,2013-03-10,2013,cell_0193,False
2684295884,"Anastomus lamelligerus Temminck, 1823",-0.171318,34.910065,2019-07-07,2019,cell_0156,True
1415643718,BOLD:ABV0395,0.228,34.963,2012-09-12,2012,cell_0184,False
